colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
bhopal,House,70.0,5154,2.0,Old Property,3,2,0,1358.0,1,0,0,1,0,0,1,0,Green View Homes
hoshangabad road,House,250.0,22563,2.0,New Property,4,4,0,1108.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
piplani,House,450.0,16304,2.0,Old Property,8,5,3,2760.0,0,0,0,0,0,0,1,0,Road Facing Homes
gandhinagar,Flat,13.5,2250,4.0,New Property,2,1,1,600.0,0,0,0,0,1,0,1,44,Green View Homes
ayodhya bypass,House,209.0,7013,3.0,Old Property,5,4,3,3690.0,1,1,0,1,1,0,0,65,Road Facing Homes
awadhpuri,Flat,22.0,2444,1.0,Moderate Property,2,2,0,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
shirdipuram,Flat,85.0,5667,4.0,Moderate Property,4,4,0,1500.0,0,0,0,0,0,0,1,36,Road Facing Homes
bairagarh,House,42.0,3500,3.0,Moderate Property,3,2,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,House,70.0,8641,2.0,New Property,3,3,1,810.0,0,0,0,0,0,0,1,9,Road Facing Homes
outside bhopal,House,25.0,3125,2.0,New Property,2,2,1,800.0,0,0,0,0,0,0,1,16,Green View Homes
awadhpuri,Flat,22.0,3554,4.0,New Property,2,2,1,742.8,0,0,0,0,0,0,1,23,Green View Homes
salaiya,Flat,57.0,3071,7.0,New Property,3,3,2,1375.0,0,0,0,0,0,0,1,59,Green View Homes
shahjahanabad,House,250.0,10416,2.0,Old Property,6,6,1,5200.0,0,0,0,1,0,0,2,10,Road Facing Homes
kolar road,Flat,20.0,6666,3.0,Old Property,1,1,2,233.21115134176688,0,0,0,0,0,0,1,0,Road Facing Homes
central bhopal,Flat,315.0,12475,8.0,New Property,4,5,3,1962.8605237932045,0,1,0,0,0,0,1,69,Amenity Facing Homes
gehu kheda,Flat,22.0,2242,5.0,New Property,2,2,3,825.0,0,0,0,0,0,0,1,41,Amenity Facing Homes
kolar road,Flat,17.0,2125,2.0,Moderate Property,2,2,2,743.0,0,0,0,0,1,0,0,8,Road Facing Homes
hoshangabad road,Flat,50.0,3125,2.0,Moderate Property,3,3,2,1462.0,0,0,0,0,0,0,0,71,Amenity Facing Homes
ayodhya bypass,House,95.0,9178,2.0,Moderate Property,3,3,1,1035.0,0,0,0,0,0,0,1,4,Road Facing Homes
bhopal,House,235.0,15666,2.0,Old Property,4,3,1,1500.0,0,0,0,0,0,0,1,8,Road Facing Homes
hoshangabad road,Flat,35.0,3286,5.0,New Property,2,2,1,827.8995872632723,0,0,0,0,0,0,1,0,Green View Homes
hoshangabad road,Flat,27.0,3020,4.0,Old Property,2,2,1,767.0,0,0,0,0,0,0,1,45,Green View Homes
hoshangabad road,Flat,33.0,3666,6.0,Moderate Property,2,2,1,1006.0,0,0,0,0,0,0,0,59,Amenity Facing Homes
misrod,Flat,35.0,2800,5.0,Moderate Property,3,2,1,971.7131305906953,0,0,0,0,0,0,0,62,Amenity Facing Homes
lalgathi,Flat,26.0,3466,2.0,New Property,2,2,1,900.0,0,0,0,0,0,0,1,17,Green View Homes
gandhinagar,Flat,35.0,2788,3.0,New Property,2,2,3,900.0,0,0,0,0,0,0,1,105,Amenity Facing Homes
aishbagh,Flat,50.0,5000,1.0,Old Property,3,2,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,Flat,38.0,2000,6.0,Moderate Property,3,4,2,1350.0,0,0,0,0,0,0,1,0,Road Facing Homes
salaiya,House,200.0,14134,2.0,Moderate Property,4,4,2,2000.0,0,0,0,0,0,0,1,16,Amenity Facing Homes
awadhpuri,Flat,30.0,2661,4.0,Old Property,3,2,2,1127.0,0,0,0,0,0,0,0,48,Road Facing Homes
govindpura,Flat,170.0,9742,9.0,New Property,4,5,3,2094.0,1,1,0,0,0,0,2,28,Amenity Facing Homes
chuna bhatti,Flat,17.0,2267,1.0,Old Property,2,2,0,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
bhopal,House,30.0,3333,1.0,Old Property,2,2,2,900.0,0,0,0,0,0,0,1,0,Road Facing Homes
bagmugaliya,Flat,75.0,4166,5.0,New Property,4,4,2,1399.2669080506012,0,0,0,0,0,0,0,43,Amenity Facing Homes
shahpura,Flat,31.0,4428,4.0,Old Property,2,2,2,840.0,0,0,0,0,0,0,1,28,Green View Homes
patel nagar,House,128.0,7111,2.0,Moderate Property,5,6,3,1800.0,0,1,0,0,0,0,1,11,Amenity Facing Homes
bawadia kalan,Flat,68.0,4689,6.0,New Property,3,3,2,1589.0,0,0,0,0,0,0,0,35,Premium Scenic Homes
bawadia kalan,House,500.0,13764,3.0,Under Construction,7,8,3,2906.0,0,1,1,1,0,0,1,16,Road Facing Homes
outside bhopal,House,48.0,5333,2.0,New Property,4,2,2,900.0,0,0,0,0,1,0,1,0,Road Facing Homes
mandideep,House,82.0,5125,2.0,Moderate Property,5,7,2,1600.0,0,1,0,0,0,0,1,8,Road Facing Homes
bagmuliya,Flat,45.0,4285,5.0,Moderate Property,3,2,2,1260.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
ayodhya bypass,House,22.0,5597,2.0,Old Property,2,2,1,393.0,0,0,0,0,0,0,1,3,Road Facing Homes
bhopal,Flat,165.0,6600,5.0,New Property,4,4,2,3000.0,0,0,0,1,1,1,1,26,Road Facing Homes
arera colony,House,265.0,11736,2.0,Moderate Property,6,6,2,2258.0,1,1,1,1,0,0,2,44,Green View Homes
hoshangabad road,Flat,60.0,5796,4.0,Moderate Property,3,2,2,1035.0,1,0,1,1,0,0,0,105,Amenity Facing Homes
bhopal,House,6.25,1388,1.0,Old Property,2,2,1,450.0,0,0,0,0,0,0,1,7,Road Facing Homes
awadhpuri,House,65.0,8125,2.0,New Property,3,3,1,800.0,0,0,0,0,0,0,1,4,Amenity Facing Homes
lalgathi,House,62.0,8539,2.0,New Property,3,3,1,1350.0,0,0,0,0,0,0,1,13,Road Facing Homes
kolar road,Flat,37.0,2960,5.0,Moderate Property,3,2,2,1250.0,0,0,0,0,0,0,0,9,Green View Homes
bhopal,House,150.0,12396,3.0,New Property,5,6,3,3420.0,0,0,0,0,0,0,0,13,Green View Homes
gandhinagar,House,370.0,13703,1.0,Old Property,3,2,1,2700.0,0,0,0,0,0,0,1,38,Road Facing Homes
lalgathi,House,210.0,14000,2.0,Moderate Property,4,3,1,1500.0,0,0,0,0,0,0,1,19,Amenity Facing Homes
karond,House,35.0,5833,3.0,New Property,3,2,1,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
gandhinagar,Flat,45.0,2844,6.0,New Property,3,3,3,1130.0,0,0,0,0,0,0,1,51,Green View Homes
habib ganj,House,210.0,8750,2.0,Old Property,4,3,2,2500.0,1,0,0,0,1,0,1,22,Green View Homes
hoshangabad road,Flat,115.0,6571,10.0,New Property,3,3,2,1370.0,0,0,0,0,1,0,0,35,Premium Scenic Homes
patel nagar,House,70.0,4666,1.0,Old Property,2,2,0,1500.0,0,0,0,0,0,0,1,13,Road Facing Homes
kolar road,House,40.0,5000,2.0,New Property,2,2,2,800.0,0,0,0,0,0,0,1,10,Amenity Facing Homes
