pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"4 BHK Flat in Bawadia Kalan, Bhopal",Aakriti Eco City,₹2.1 Cr,"₹6,000 /sqft",Ready To Move,"This 4 bhk pent house is located in akrti, which houses some of the most spacious flats in bawadiya kala, bhopal. The flat is facing the west direction. The flat is over 3500 sq.Ft. Carpet area and comes with 4 bedroom(s), 4 bathrooms and more than 3 balconies. The residential building has 6 floors in total and the flat for sale is located on the 3rd floor. As the property is . The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. All the modern amenities such as maintenance staff, lift(s), visitor parking and park will make life easier for you.","Carpet area: 3500
(325.16 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies with Pooja Room,Servant Room","₹ 2.1 Crore
@ 6,000 per sq.ft. View Price Details","Aakriti Eco City
Bawadia Kalan, Bhopal",6th   of 6 Floors,5 to 10 Year Old,[],"['Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Pool,Park/Garden,Club,Main Road,Others",
"3 BHK Flat in Sanjeev Nagar, Bhopal",RIPL Maple Tree,₹55 Lac,"₹3,666 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in ripl maple tree that is situated in sanjeev nagar, bhopal. This residential flat is north-Facing direction. Constructed on a built up area of 1500 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 2nd floor of a 6 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, park, cctv surveillance, lift(s), maintenance staff and visitor parking.","Built Up area: 1500
(139.35 sq.m.)
Carpet area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 55 Lac+ Govt Charges & Tax
@ 3,666 per sq.ft. (Negotiable) View Price Details","RIPL Maple Tree
Sanjeev Nagar, Bhopal",2nd   of 6 Floors,1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '6 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,,
"1 BHK Flat in Ayodhya Bypass , Bhopal",Regal Treasure,₹23.9 Lac,"₹5,975 /sqft",Ready To Move,"A spacious, luxuriously furnished 1-Bhk flat is available for immediate sale in the prime regal treasure colony, located on the main road, ayodhya bypass, bhopal. The asking price is 25.90 lakhs, negotiable to 24.90 lakhs with a loan or 23.90 lakhs with cash payment. The property commands a rental value of 12,00015,000 per month. This represents a compelling investment opportunity, given the impending road widening project on the ayodhya bypass, which is expected to significantly increase property values.","Super Built up area 650
(60.39 sq.m.)
Built Up area: 550 sq.ft. (51.1 sq.m.)
Carpet area: 400 sq.ft. (37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 2 Balconies","₹ 23.9 Lac+ Govt Charges & Tax
@ 5,975 per sq.ft.","Regal Treasure
Ayodhya Bypass , Bhopal",3rd   of 5 Floors,5 to 10 Year Old,"['1 Exhaust Fan', '16 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-West,Main Road,
"2 BHK Flat in Ayodhya Nagar, Bhopal",Sheetal Paradise,₹44.9 Lac,"₹2,806 /sqft",Ready To Move,"For sale: 1600 sq ft, 2bhk spacious, luxurious, fully furnished penthouse flat in a prime location on ayodhya bypass, bhopal. All branded accessories included.","Super Built up area 1600
(148.64 sq.m.)
Built Up area: 1300 sq.ft. (120.77 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room","₹ 44.9 Lac+ Govt Charges & Tax
@ 2,806 per sq.ft.","Sheetal Paradise
Ayodhya Nagar, Bhopal",10th   of 10 Floors,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '30 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Main Road,
"3 BHK Flat in Kolar Road, Bhopal",Windsor Aralia,₹49.99 Lac,"₹3,423 /sqft",Ready To Move,"3 bhk spacious flat for sale windsor arelia, kolar road, bhopal Super built-Up area: 1460 sq.Ft. Location highlights: Situated in windsor arelia a premium residential project Just off 6 lane highway, kolar road Near holy cross school & d-Mart, kolar road Excellent connectivity to all major locations Key features: Well-Planned 3 bedrooms, hall & kitchen Spacious balconies with natural light & ventilation Secure & premium society with all amenities Ideal for families looking for comfort + convenience Location advantage: Educational hubs, shopping centers & hospitals nearby Peaceful environment with city accessibility Dont miss this golden opportunity to own a premium 3 bhk at kolar roads most demanded location. Contact now: Renu tomar","Super Built up area 1460
(135.64 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, 3 Balconies with Pooja Room,Others","₹ 49.99 Lac+ Govt Charges & Tax
@ 3,423 per sq.ft. (Negotiable) View Price Details","Windsor Aralia
Kolar Road, Bhopal",5th   of 7 Floors,1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Pool,Others,Park/Garden,Sea facing,Club,Main Road",
"3 BHK Flat in Bawadia Kalan, Bhopal",Virasha Heights,₹70 Lac,"₹5,319 /sqft",Ready To Move,3 bhk semi furnished flat available for sale covered campus in virasha haight bawadiya kalan bhopal,"Super Built up area 1316
(122.26 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 70 Lac
@ 5,319 per sq.ft. View Price Details","Virasha Heights
Bawadia Kalan, Bhopal",2nd   of 6 Floors,5 to 10 Year Old    View Construction Status,"['3 Wardrobe', '4 Fan', '6 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Park/Garden,Club,Pool,Main Road,Others",
"3 BHK Flat in Bawadia Kalan, Bhopal",Shaligram Rudraksh Park,₹55 Lac,"₹4,782 /sqft",Ready To Move,3 bhk semi furnished corner flat for sale covered campus in rudraksha park phase 1 bawadiya kalan bhopal near aakriti eco city,"Carpet area: 1150
(106.84 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 55 Lac
@ 4,782 per sq.ft. View Price Details","Shaligram Rudraksh Park
Bawadia Kalan, Bhopal",5th   of 6 Floors,5 to 10 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road,Club",
"3 BHK Flat in Bawadia Kalan, Bhopal",Virasha Heights,₹70 Lac,"₹5,833 /sqft",Ready To Move,3 bhk semi furnished flat for sale covered campus in virasha height modular bawadiya kalan bhopal,"Super Built up area 1316
(122.26 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 70 Lac
@ 5,833 per sq.ft. View Price Details","Virasha Heights
Bawadia Kalan, Bhopal",5th   of 6 Floors,1 to 5 Year Old    View Construction Status,"['3 Wardrobe', '6 Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Club,Park/Garden,Main Road,Others",
"4 BHK Flat in Shivaji Nagar, Bhopal",Tulsi green tower shivaji nagar bhopal,₹2.45 Cr,"₹9,800 /sqft",Under Construction,"Check out this 4 bhk apartment for sale in tulsi green tower shivaji nagar bhopal, a popular residential project that houses in-Demand flats in tulsi tower shivaji nagar bhopal . The flat is east-Facing. The flat occupies a super built up area of 2500 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and more than 3 balconies. The flat has a total of 22 floors and this property is situated on 8th floor. This residential flat is currently under construction and you can expect the possession of the same by december 2027. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. Tulsi green tower shivaji nagar bhopal is designed very well to provide modern facilities such as maintenance staff, visitor parking, park and lift(s). Municipal corporation and borewell/tank provides a regular supply of water to this residential project.","Super Built up area 2500
(232.26 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies with Pooja Room,Servant Room,Study Room,Others","₹ 2.45 Crore
@ 9,800 per sq.ft. View Price Details","Tulsi green tower shivaji nagar bhopal
Shivaji Nagar, Bhopal",8th   of 22 Floors,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road,Sea facing,Others,Club,Pool",Dec 2027
"4 BHK Flat in TT Nagar, Bhopal",Gammon Shrishti CBD,₹3.15 Cr,"₹12,475 /sqft",Ready To Move,"Check out this 4 bhk apartment for sale in gammon shrishti cbd, a popular residential project that houses in-Demand flats in tt nagar, bhopal. The flat is facing the east direction. The floor plan additionally contains 4 bedroom(s), 5 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2525 sq.Ft. The residential building has 22 floors in total and the flat for sale is located on the 8th floor. This is a ready to move project and the property is 1-5 years old. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), security personnel and maintenance staff will make life easier for you. You enjoy a 24*7 access to water in your flat.","Super Built up area 2525
(234.58 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3+ Balconies with Servant Room","₹ 3.15 Crore
@ 12,475 per sq.ft. (Negotiable) View Price Details","Gammon Shrishti CBD
TT Nagar, Bhopal",8th   of 22 Floors,1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road",
"3 BHK Flat in Bawadia Kalan, Bhopal",Aakrati Olive,₹72 Lac,"₹5,760 /sqft",Ready To Move,"This beautiful 3 bhk flat in bawadia kalan, bhopal is situated in aakrati olive, one of the popular residential society in bhopal. The flat is facing the east direction. The flat occupies a super built up area of 1250 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The property is located on the 4th floor of a 6 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The well built marble flooring enhances the aesthetic appeal of this flat. Many of the modern amenities being offered, like lift(s), visitor parking and maintenance staff, will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 72 Lac
@ 5,760 per sq.ft. (Negotiable) View Price Details","Aakrati Olive
Bawadia Kalan, Bhopal",4th   of 6 Floors,1 to 5 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 TV', '1 AC', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"4 BHK Flat in Rachna Nagar, Bhopal",MP Rachna Towers,₹1.7 Cr,"₹9,742 /sqft",Ready To Move,For sale 4bhk duplex flat rachna tower,"Carpet area: 1745
(162.12 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3+ Balconies with Study Room,Servant Room","₹ 1.7 Crore+ Govt Charges & Tax
@ 9,742 per sq.ft. View Price Details","MP Rachna Towers
Rachna Nagar, Bhopal",9th   of 10 Floors,1 to 5 Year Old,"['1 Water Purifier', '1 Fridge', '6 Fan', '1 Exhaust Fan', '4 Geyser', '11 Light', '1 TV', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '3 AC', '4 Bed', '4 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Stove', 'No Washing Machine']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road,Others",
"4 BHK Flat in Shirdipuram, Bhopal",Western Courtyard,₹1 Cr,"₹4,683 /sqft",Ready To Move,"Western courtyard is one of bhopal's most sought after destination for apartments and this 4 bhk flat in shirdipuram is your opportunity to be a part of this community. This residential flat is west-Facing direction. The flat occupies a super built up area of 2135 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 1 balcony. This flat lies on the 6th level of a 8 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This residential property is situated near close to market, close to school and close to hospital. All the modern amenities such as fitness centre / gym, club house / community center, lift(s), visitor parking and park will make life easier for you. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 2135
(198.35 sq.m.)
Built Up area: 1525 sq.ft. (141.68 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1 Crore
@ 4,683 per sq.ft. View Price Details","Western Courtyard
Shirdipuram, Bhopal",6th   of 8 Floors,1 to 5 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",[],West,Pool,
"4 BHK Flat in Tilak Nagar, Bhopal",Kalpataru Galaxy Towers,₹1.5 Cr,"₹6,976 /sqft",Ready To Move,"Located in the popular residential address of tilak nagar, bhopal, kalpataru galaxy towers is one of the most preferred destination for apartments in bhopal. This 4 bhk flat is your ticket to be a part of this community. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2150 sq.Ft. The residential building has 6 floors in total and the flat for sale is located on the top floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. (Abhinav group)","Super Built up area 2150
(199.74 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 1.5 Crore
@ 6,976 per sq.ft. View Price Details","Kalpataru Galaxy Towers
Tilak Nagar, Bhopal",6th   of 6 Floors,1 to 5 Year Old,"['4 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 BHK Flat in Arera Colony, Bhopal",Mirchandani Shalimar Regency,₹52 Lac,"₹5,777 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in mirchandani shalimar regency, a popular residential project that houses in-Demand flats in arera colony, bhopal. The flat is over 900 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the ground floor of this 6 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move. Price - 52,00,000/- Lakh (Vikrant & abhinav group)","Carpet area: 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 52 Lac
@ 5,777 per sq.ft. View Price Details","Mirchandani Shalimar Regency
Arera Colony, Bhopal",Ground of 6 Floors,1 to 5 Year Old,"['3 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 BHK Flat in Bawadia Kalan, Bhopal",Aakar Canal Kinship,₹55 Lac,"₹3,892 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in bawadia kalan is available for sale in one of bhopal's most popular projects, aakar canal kinship. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1413 sq.Ft. The flat has a total of 6 floors and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. All the modern amenities such as club house / community center and lift(s) will make life easier for you.","Super Built up area 1413
(131.27 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 55 Lac
@ 3,892 per sq.ft. View Price Details","Aakar Canal Kinship
Bawadia Kalan, Bhopal",6th   of 6 Floors,1 to 5 Year Old    View Construction Status,"['2 Wardrobe', '5 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Visitor Parking', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹95 Lac,"₹7,624 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in globus coral woods, one of the most prominent projects for flats in misrod, bhopal. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1246 sq.Ft. This flat lies on the top level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. All the modern amenities such as swimming pool, fitness centre / gym, park and lift(s) will make life easier for you. (Sumit jasuja and abhinav)","Super Built up area 1246
(115.76 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 95 Lac
@ 7,624 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",6th   of 6 Floors,1 to 5 Year Old    View Construction Status,"['3 Wardrobe', '1 Fridge', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 BHK Flat in Hoshangabad Road, Bhopal",Century Heights,₹55 Lac,"₹4,074 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in hoshangabad road is available for sale in one of bhopal's most popular projects, century heights. This property faces the west direction. The flat occupies a super built up area of 1350 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 8 floors and this property is situated on 5th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Proximity to landmarks like close to hospital, close to market and close to school makes this an ideal property for families. The society is well equipped with many modern amenities, including shopping centre, club house / community center, fitness centre / gym and lift(s).","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 55 Lac
@ 4,074 per sq.ft. View Price Details","Century Heights
Hoshangabad Road, Bhopal",5th   of 8 Floors,1 to 5 Year Old,"['5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Main Road,
"3 BHK Flat in Bawadia Kalan, Bhopal",Nikhil Devalaya Pristine,₹70 Lac,"₹7,000 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in nikhil devalaya pristine, a popular residential project that houses in-Demand flats in bawadia kalan, bhopal. Constructed on a carpet area of 1000 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the top level of a 6 storey building. This is a ready to move project and the property is 1-5 years old. (Rajat)","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 70 Lac
@ 7,000 per sq.ft. View Price Details","Nikhil Devalaya Pristine
Bawadia Kalan, Bhopal",6th   of 6 Floors,1 to 5 Year Old,"['3 Wardrobe', '3 Bed', '3 Fan', '1 Fridge', '1 Dining Table', '3 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Chimney', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 BHK Flat in Bagmugaliya, Bhopal",YASHODA DISIRE,₹62 Lac,"₹3,757 /sqft",Ready To Move,"This 3 bhk flat is located in yashoda disire, which houses some of the most spacious flats in bagmugaliya, bhopal. This is a north-Facing property. The flat occupies a super built up area of 1650 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 3rd floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. The society complex is in the close vicinity of close to market, close to school and close to hospital, making it an ideal home for a relaxed lifestyle. The society is well equipped with many modern amenities, including maintenance staff, visitor parking, park and lift(s). You enjoy a 24*7 access to water in your flat.","Super Built up area 1650
(153.29 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 62 Lac
@ 3,757 per sq.ft. View Price Details","YASHODA DISIRE
Bagmugaliya, Bhopal",3rd   of 6 Floors,1 to 5 Year Old,"['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Park/Garden,
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹65 Lac,"₹5,200 /sqft",Ready To Move,Best flat in hoshangabad road bhopal,"Super Built up area 1856
(172.43 sq.m.)
Carpet area: 1250 sq.ft. (116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 65 Lac
@ 5,200 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",5th   of 6 Floors,1 to 5 Year Old    View Construction Status,"['4 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Pool,Others,Park/Garden,Club,Main Road",
