pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"2 BHK Flat in Jumerati, Bhopal",aliganj,23.0,4181,Ready To Move,"55b, aliganj, jumerati, bhopal","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",1st   of 3 Floors,West,10+ Year Old,"['1 Fan', '7 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Spacious Interiors']",Others,2,2,1,Not Available,1,3,550.11
"2 BHK Flat in Misrod, Bhopal",natraj society,16.0,2503,Ready To Move,Modular kitchen and widely lauf,"Built Up area: 756
(70.23 sq.m.)
Carpet area: 639 sq.ft. (59.37 sq.m.)  
sq.ft.",1st   of 4 Floors,NA,5 to 10 Year Old,,,,2,2,2,Not Available,1,4,639.23
"3 BHK Flat in Jatkhedi, Bhopal",shri balaji swastik grand,40.0,2162,Ready To Move,Flat for sale at hoshangabad roads prime location at affordable price,"Carpet area: 1850
(171.87 sq.m.)  
sq.ft.",4th   of 4 Floors,NA,1 to 5 Year Old,,"['High Ceiling Height', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,3,2," study room,pooja room",4,4,1850.14
"3 BHK Flat in Rasla Khedi, Bhopal",bm coral casa,34.0,3238,Ready To Move,Sale my flats interesting person contact my no,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.",6th   of 7 Floors,NA,5 to 10 Year Old,"['1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,2,1,Not Available,6,7,1050.03
"2 BHK Flat in Hoshangabad Road, Bhopal",nirupam royal palms,26.0,3058,Ready To Move,Reserve parking 2nd floor 2 washroom Generator back up Near ashima mall Big kitchen area Corner flat,"Super Built up area 990
(91.97 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.",2nd   of 6 Floors,East,5 to 10 Year Old,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road",2,2,3,Not Available,2,6,850.23
"2 BHK Flat in Hoshangabad Road, Bhopal",sterling globe grand,100.0,10521,Ready To Move,I want to sell my flat no f-1 and f-2 on plot no 4 shree shidhi vinayak complex sterling globe grand phase 3 situated at bawadiya kalan ward 53 p. H. 18 tehsil huzur dist bhopal. Flat is complete hall and there is no badrooms in flat. My property is on rent and from 1st month onwards purchaser gets rent approx 20k to 25k.,"Carpet area: 88.3   
sq.m.",1st   of 3 Floors,South-East,1 to 5 Year Old,,"['Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Main Road,2,1,1,Not Available,1,3,950.48
"2 BHK Flat in Katara Hills, Bhopal",agrawal sagar golden palm,30.0,3000,Ready To Move,"We are the proud owners of this 2 bhk apartment available in agrawal sagar golden palm, katara hills, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.",2nd   of 7 Floors,NA,5 to 10 Year Old,,,,2,2,1,Not Available,2,7,1000.0
"2 BHK Flat in Khajuri Kalan , Bhopal",shriram sai parisar,24.0,2666,Ready To Move,Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a unfurnished property.Located in khajuri kalan .Available at an expected price of rs 2400000.Located on 1st floor out of the 4 the property comes with a good construction quality which ages 1-5 years old property,"Super Built up area 900
(83.61 sq.m.)  
sq.ft.",1st   of 4 Floors,East,1 to 5 Year Old    View Construction Status,,['Rain Water Harvesting'],Main Road,2,2,1,Not Available,1,4,900.23
"2 BHK Flat in Lambakheda, Bhopal",ganga jamuna apartments,13.0,2015,Ready To Move,"We are the proud owners of this 2 bhk apartment available in ganga jamuna apartments, lambakheda, bhopal. This apartment is a 1-5 year old property, priced approximately at rs. 2000 per sq. Ft. Or rs. 1300000. It is a resale and a ready to move in apartment. The unit is located on the 1st floor and has a super built-Up area of 645. 0 sq. Ft. It has bathroom(s). The ownership is freehold type.","Super Built up area 645
(59.92 sq.m.)  
sq.ft.",1st   of 3 Floors,West,10+ Year Old,,"['Maintenance Staff', 'Park', 'Visitor Parking']",,2,1,0,Not Available,1,3,645.16
"3 BHK Flat in Hoshangabad Road, Bhopal",sarc pacific blue,48.0,4266,Ready To Move,"It is close to dmart , mall and other amenities that make life convenient. It have spacious living room , a well designed kitchen and a comfortable bedrooms.","Carpet area: 1125
(104.52 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,5 to 10 Year Old,"['4 Wardrobe', '4 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,2,2,Not Available,2,6,1125.18
"3 BHK Flat in Airport Road, Bhopal",harshit lifestyle,33.0,2869,Ready To Move,Luxurious 3 bhk apartment with all the modern amenities,"Built Up area: 1150
(106.84 sq.m.)
Carpet area: 940 sq.ft. (87.33 sq.m.)  
sq.ft.",2nd   of 6 Floors,West,0 to 1 Year Old    View Construction Status,,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Park/Garden,Club,Main Road,Others",3,3,2, others,2,6,1150.23
"3 BHK Flat in Arera Colony, Bhopal",baba apartments e7 arera colony,50.0,3333,Ready To Move,"We are the proud owners of this 3 bhk apartment available in baba apartments e7 arera colony, near 11 no bus stop behind chitransh college, bhopal. This semifurnished apartment is a 10+ year old property, priced rs. 5000000 (Negotiable). It is a resale and a ready to move in apartment. The unit is located on the 2nd floor and has a super built-Up area of 1300 sq. Ft. It has marble flooring. It has 2 bathroom(S) and 4 balalcony(S). The ownership is freehold type. The property offers the best in class facilities such as park, visitor parking and water storage. It is positioned in a gated society. The apartment has 1 covered parking.","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1240 sq.ft. (115.2 sq.m.)  
sq.ft.",2nd   of 3 Floors,NA,10+ Year Old,,"['Park', 'Visitor Parking', 'Water Storage', 'Maintenance Staff']",,3,2,3,Not Available,2,3,1500.15
"2 BHK Flat in Kolar Road, Bhopal",ujjawala aamra valley,36.0,3512,Ready To Move,Its a garden facing big room size 2 bhk,"Super Built up area 1025
(95.23 sq.m.)
Carpet area: 775 sq.ft. (72 sq.m.)  
sq.ft.",2nd   of 6 Floors,South-West,1 to 5 Year Old,"['1 Bed', '2 Wardrobe', '1 Water Purifier', '1 Sofa', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","Pool,Park/Garden,Club,Main Road,Others",2,2,2,Not Available,2,6,1025.06
"2 BHK Flat in Indrapuri, Bhopal",bda flats,25.0,2777,Ready To Move,Indrapuri j k on road coming metro,"Carpet area: 900
(83.61 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,10+ Year Old,,,,2,2,1,Not Available,3,3,900.25
"4 BHK Flat in Kolar Road, Bhopal",danish hills view,65.0,4482,Ready To Move,"3 bhk apartment for sale luxury living in bhopals most reputed & scenic campus - Danish hills view, kolar","Carpet area: 1450
(134.71 sq.m.)  
sq.ft.",4th   of 4 Floors,East,5 to 10 Year Old,"['2 Bed', '2 Wardrobe', '4 Fan', '1 Fridge', '6 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Park/Garden,4,2,1,Not Available,4,4,1450.25
"3 BHK Flat in Sector C Indrapuri, Bhopal",indrapuri apartments,21.0,3818,Ready To Move,"Indrapuri apartments is one of the most popular destination for buying apartments/ flats in sector c indrapuri, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 550 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,10+ Year Old,,,,3,2,1,Not Available,2,4,550.03
"3 BHK Flat in Hoshangabad Road, Bhopal",sarc pacific blue,50.0,3424,Ready To Move,"For sale: Freshly renovated 3-Bhk, 1,460 sq ft ready to move","Super Built up area 1460
(135.64 sq.m.)  
sq.ft.",4th   of 7 Floors,NA,1 to 5 Year Old,"['6 Wardrobe', '3 Fan', '1 Geyser', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",,3,2,2,Not Available,4,7,1460.28
"2 BHK Flat in Shivaji Nagar, Bhopal",ankur complex,50.0,6369,Ready To Move,"Its a prime well-Connected, posh, clean location of the city with railway station, business hub of the city (Mp nagar), mall, hospitals, hotels, locality market area, veggie vendors reachable within 5-10 minutes (Within 3 kilometers). House is clean, well-Lit, spacious, well-Maintained, access to the terrace safe (With a security guard, cctv surveillance), complex has its own temple, park and cultural area,","Carpet area: 785
(72.93 sq.m.)  
sq.ft.",4th   of 4 Floors,North-West,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Geyser', '1 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM']","Park/Garden,Club,Main Road",2,2,2,Not Available,4,4,785.05
"2 BHK Flat in Patel Nagar, Bhopal",archana balaji towers,28.0,3500,Ready To Move,Ground floor 2bhk comfort living & great rental returns!,"Super Built up area 800
(74.32 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.",Ground of 3 Floors,East,5 to 10 Year Old,"['4 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Internet/wi-fi connectivity']",,2,2,2,Not Available,0,3,800.0
"4 BHK Flat in Patel Nagar, Bhopal",archana balaji towers,57.0,2850,Ready To Move,Spacious 4 bhk ground-Floor flat with 2000 sq.Ft. Super built-Up area featuring:,"Super Built up area 2000
(185.81 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.",Ground of 3 Floors,East,5 to 10 Year Old,,"['Water purifier', 'Water Storage', 'Internet/wi-fi connectivity']",,4,4,3,Not Available,0,3,2000.0
"2 BHK Flat in Hoshangabad Road, Bhopal",lakhumal nikhil nestles,35.0,4117,Ready To Move,"2 bhk fully furnished flat for sale in nikhil nestle apartments Asking price: 35.49 lakh Location: Nikhil nestle apartments, hoshangabad road, near ashima mall, bhopal Property details: Type: Ready-To-Move 2bhk flat Property age: 9-10 years Super built-Up area: 1200 sq. Ft. Built-Up area: 950 sq. Ft. Floor: 6th (Top floor in a 6-Floor building) Flat facing : Corner, north-East Ownership: Freehold Current society maintenance: 1,500/month Features: Fully furnished: Omodular kitchen Otwo double beds O2-Ton daikin split ac in the master bedroom Obuilt-In wardrobes Odressing table Olg fridge, led tv, washing machine Ogas stove, center table O5-Seater sofa set Oceiling fans, proper lighting, curtains, daily use utensils etc. Parking: Otwo vehicles (One covered parking + one open parking) Unique selling points (Usp): Rental income: Currently rented out, generating a rental income of 18,000/month (+ maintenance) In-Campus facilities: Osecure campus with ample cctv coverage and security guards Olift, gym, garden, tennis area, kids' park, walking track, and maintenance staff O24x7 water supply and thnik gas pipeline. Nearby amenities: Close proximity to restaurants, shopping malls, schools, hospitals, local markets, and habibganj railway station Landmark: Near ashima mall, turn towards vrindavan garden or hotel efotel by sayaji Approach: Just 800 meters from the main hoshangabad road. Contact : Alok singh (Property owner) Call : Eight nine eight nine one five two six five three.","Super Built up area 1200
(111.48 sq.m.)
Built Up area: 950 sq.ft. (88.26 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.",6th   of 6 Floors,North-East,5 to 10 Year Old,"['1 Water Purifier', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave']","['Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Club,Main Road,Others",2,2,2, view floor plan,6,6,850.13
"2 BHK Flat in Katara Hills, Bhopal",bhojpal shree krishna heights,35.0,2777,Ready To Move,Flat 2 bhk free hold flat . On main road katara hills . Super built up 1260 sq ft.,"Super Built up area 1260
(117.06 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.",2nd   of 7 Floors,North-West,5 to 10 Year Old,,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",Main Road,2,2,2, view floor plan,2,7,1260.35
"3 BHK Flat in Mahawadiya, Bhopal",ibd hallmark citii,22.0,2200,Ready To Move,"We are the proud owners of this 3 bhk apartment available in ibd hallmark citii, mahawadiya, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,5 to 10 Year Old,,,,3,2,0,Not Available,2,4,1000.0
"2 BHK Flat in Bawadia Kalan, Bhopal",mahendra square,55.0,7133,Ready To Move,"2 bhk fully furnished flat for sale | mahendra square, bawadiya kalan, bhopal","Super Built up area 771
(71.63 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",1st   of 3 Floors,NA,5 to 10 Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '2 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Club house / Community Center']",,2,2,2, pooja room,1,3,771.06
"3 BHK Flat in Transport Nagar, Bhopal",transport,40.0,5000,Ready To Move,3bhk semi furnished with transport nagar highway,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.",1st   of 2 Floors,NA,0 to 1 Year Old,,,,3,3,2,Not Available,1,2,800.0
"2 BHK Flat in Saket Nagar, Bhopal",yashoda apartment,25.0,4545,Ready To Move,"2bhk flat(Renovated) @ saket nagar sector 2c, walking distance from aiims. Equipped with 2 ceiling fans in hall, ceiling fan in each bed room, exhaust fan in kitchen, modular switches, surface ceiling light, geyser in bathroom, almirah in bed room and kitchen . Apartment covered with lush green environment, neat and clean vicinity. Total nos. Of flat - 6","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",2nd   of 2 Floors,NA,10+ Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,1,Not Available,2,2,550.06
