colony,property_type,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,servant room,store room,furnishing_type,Overlooking_Categories,luxury_category,price
4.0,1.0,2.0,2.0,2,2,1,393.0,0,0,1,3.0,1.0,22.0
10.0,0.0,5.0,1.0,4,4,2,3000.0,0,0,1,3.0,2.0,165.0
1.0,1.0,2.0,0.0,6,6,2,2258.0,1,1,2,1.0,2.0,265.0
18.0,0.0,4.0,0.0,3,2,2,1035.0,0,1,0,0.0,0.0,60.0
10.0,1.0,1.0,2.0,2,2,1,450.0,0,0,1,3.0,1.0,6.25
3.0,1.0,2.0,1.0,3,3,1,800.0,0,0,1,0.0,1.0,65.0
23.0,1.0,2.0,1.0,3,3,1,1350.0,0,0,1,3.0,1.0,62.0
22.0,0.0,5.0,0.0,3,2,2,1250.0,0,0,0,1.0,1.0,37.0
10.0,1.0,3.0,1.0,5,6,3,3420.0,0,0,0,1.0,1.0,150.0
14.0,1.0,1.0,2.0,3,2,1,2700.0,0,0,1,3.0,2.0,370.0
23.0,1.0,2.0,0.0,4,3,1,1500.0,0,0,1,0.0,1.0,210.0
19.0,1.0,3.0,1.0,3,2,1,1500.0,0,0,1,3.0,1.0,35.0
14.0,0.0,6.0,1.0,3,3,3,1130.0,0,0,1,1.0,2.0,45.0
17.0,1.0,2.0,2.0,4,3,2,2500.0,0,0,1,1.0,1.0,210.0
18.0,0.0,10.0,1.0,3,3,2,1370.0,0,0,0,2.0,2.0,115.0
30.0,1.0,1.0,2.0,2,2,0,1500.0,0,0,1,3.0,1.0,70.0
22.0,1.0,2.0,1.0,2,2,2,800.0,0,0,1,0.0,1.0,40.0
13.0,0.0,1.0,2.0,2,2,3,1093.2,0,0,1,3.0,1.0,25.0
6.0,0.0,1.0,1.0,13,14,2,3600.0,1,0,0,3.0,1.0,300.0
26.0,0.0,3.0,0.0,3,2,1,1096.0,0,0,1,1.0,1.0,28.0
18.0,0.0,4.0,2.0,2,2,1,960.0,0,0,0,1.0,2.0,26.0
10.0,1.0,2.0,2.0,4,4,2,1440.0,0,0,1,0.0,1.0,120.0
36.0,0.0,6.0,1.0,4,4,1,1525.0,0,0,0,3.0,2.0,100.0
22.0,0.0,1.0,0.0,1,1,0,550.0,0,0,1,3.0,1.0,16.5
21.0,1.0,2.0,1.0,3,5,1,1920.0,0,0,1,3.0,1.0,56.0
26.0,0.0,4.0,1.0,2,2,1,730.7282742042029,0,0,1,0.0,2.0,24.5
26.0,0.0,1.0,1.0,3,2,2,1196.0,0,0,1,0.0,2.0,32.0
11.0,1.0,1.0,0.0,4,3,3,2430.0,0,0,1,1.0,1.0,110.0
15.0,0.0,1.0,1.0,2,2,2,960.0,0,0,1,3.0,1.0,30.0
9.0,1.0,4.0,1.0,6,7,3,7000.0,0,0,1,3.0,1.0,515.0
1.0,0.0,2.0,2.0,3,2,3,1010.5816558143232,0,0,1,3.0,1.0,44.0
32.0,0.0,2.0,2.0,1,1,1,600.0,0,0,1,3.0,1.0,10.5
6.0,1.0,2.0,2.0,4,4,3,3000.0,0,0,1,1.0,1.0,170.0
13.0,1.0,2.0,2.0,4,3,0,2222.0,0,0,0,3.0,1.0,200.0
19.0,1.0,1.0,2.0,6,5,1,2400.0,0,0,1,1.0,1.0,95.0
15.0,1.0,2.0,1.0,3,2,2,600.0,0,0,0,1.0,2.0,45.0
18.0,1.0,3.0,1.0,2,5,2,942.0,0,0,1,3.0,1.0,58.0
4.0,0.0,3.0,0.0,3,3,3,1451.3507318502625,0,0,0,0.0,0.0,70.0
9.0,0.0,3.0,0.0,3,2,0,1041.6764759932253,0,0,1,3.0,1.0,45.0
22.0,0.0,1.0,0.0,2,1,0,660.0,0,0,1,3.0,1.0,15.0
6.0,0.0,2.0,1.0,4,3,0,1495.0,0,0,1,3.0,1.0,51.25
12.0,0.0,5.0,1.0,4,4,3,2100.0,1,0,0,2.0,1.0,200.0
18.0,0.0,5.0,1.0,1,2,2,450.0,0,0,1,0.0,2.0,20.0
25.0,1.0,3.0,2.0,1,4,2,600.0,0,0,1,0.0,1.0,27.0
18.0,0.0,5.0,0.0,3,2,2,1474.0,0,0,2,0.0,2.0,40.0
7.0,1.0,2.0,0.0,4,4,2,2400.0,0,0,1,3.0,1.0,260.0
28.0,1.0,2.0,1.0,3,2,1,1200.0,0,0,1,3.0,1.0,55.0
1.0,0.0,2.0,2.0,2,2,2,621.896403578045,0,0,0,1.0,2.0,30.0
20.0,0.0,1.0,0.0,1,1,0,349.8167270126503,0,0,1,1.0,1.0,13.5
18.0,0.0,1.0,1.0,3,3,1,1731.6,0,0,1,1.0,1.0,55.0
18.0,1.0,3.0,1.0,4,4,2,2500.0,0,0,0,2.0,2.0,140.0
4.0,0.0,5.0,1.0,3,3,3,1680.0,0,0,1,0.0,2.0,45.0
20.0,1.0,2.0,1.0,4,3,2,2640.0,0,1,1,1.0,2.0,200.0
15.0,0.0,4.0,0.0,2,2,0,621.896403578045,0,0,1,3.0,1.0,25.0
2.0,0.0,3.0,2.0,2,2,1,560.0,0,0,1,3.0,1.0,40.0
3.0,0.0,3.0,1.0,2,2,2,1020.0,0,0,0,3.0,1.0,35.0
18.0,0.0,6.0,1.0,3,3,3,1618.8,0,0,0,0.0,2.0,55.0
22.0,1.0,2.0,1.0,3,3,1,1008.0,0,0,1,3.0,1.0,40.0
10.0,0.0,2.0,0.0,2,2,1,850.0,0,0,1,3.0,1.0,32.0
22.0,1.0,2.0,0.0,3,2,1,900.0,0,0,1,3.0,1.0,65.0
14.0,0.0,5.0,1.0,3,3,2,1200.0,0,0,1,0.0,2.0,33.99
3.0,1.0,2.0,0.0,3,3,1,1400.0,0,0,1,0.0,1.0,55.0
32.0,1.0,2.0,0.0,2,2,1,600.0,0,0,1,3.0,1.0,60.0
13.0,1.0,2.0,1.0,6,6,3,8700.0,1,1,2,0.0,2.0,670.0
20.0,1.0,3.0,1.0,5,5,2,3600.0,1,0,1,0.0,1.0,215.0
18.0,0.0,1.0,1.0,3,3,3,1027.683806912719,0,0,1,1.0,2.0,30.0
35.0,1.0,2.0,2.0,2,2,1,450.0,0,0,1,1.0,1.0,35.0
13.0,0.0,1.0,2.0,2,2,3,923.0,0,0,1,3.0,1.0,20.0
35.0,0.0,2.0,0.0,2,2,1,485.8565652953477,0,0,1,3.0,1.0,17.0
18.0,0.0,2.0,0.0,3,2,2,1350.0,0,0,0,0.0,2.0,48.0
22.0,0.0,4.0,0.0,3,2,2,1800.0,0,0,1,1.0,2.0,35.0
22.0,1.0,1.0,3.0,3,3,1,1200.0,0,0,1,1.0,2.0,38.0
19.0,0.0,1.0,1.0,3,2,1,777.3705044725563,0,0,1,3.0,1.0,35.0
17.0,1.0,3.0,1.0,4,3,3,1500.0,0,0,2,3.0,1.0,261.0
10.0,1.0,2.0,2.0,5,4,1,2100.0,0,0,1,3.0,1.0,72.0
14.0,1.0,1.0,2.0,1,1,0,450.0,0,0,1,1.0,2.0,12.5
18.0,0.0,8.0,1.0,4,4,3,2410.0,0,0,1,0.0,2.0,140.0
4.0,0.0,3.0,0.0,2,2,1,840.0,0,0,0,3.0,1.0,26.0
34.0,0.0,1.0,0.0,3,2,3,1200.0,0,0,1,1.0,2.0,50.0
32.0,0.0,3.0,2.0,1,1,1,7800.0,0,0,1,3.0,1.0,14.5
